e.g. Info	例如：信息
Neutral Click Action Code	中立按钮操作代码
Generated BeanShell Code	生成的 BeanShell 代码
Inject to Script	插入脚本
Toast message	Toast 提示内容
📱 Interactive Live Device preview. Click buttons to simulate events!	📱 设备交互预览。点击按钮可模拟操作！
Hook Types Reference Guide	Hook 类型参考指南
Filter and view definitions for all available Hook configurations.	筛选并查看所有可用 Hook 配置的定义。
Search for hook types, methods...	搜索 Hook 类型或方法…
HookType Enum	HookType 枚举
Description	说明
Scope	作用域
Call Tracing Hooks	调用跟踪 Hook
Learn how call tracing works to capture argument lists, runtime states, and decryption keys.	了解如何通过调用跟踪获取参数列表、运行时状态和解密密钥。
Interception Analysis	拦截分析
Trace hooks (`TRACE_CALL` & `TRACE_CONSTRUCTOR`) enable real-time auditing of execution paths without modifying code manually. Traced method parameters, invocation states, and calling stacks are automatically logged to the Xposed/LSPosed console.	跟踪 Hook（`TRACE_CALL` 和 `TRACE_CONSTRUCTOR`）无需手动修改代码，即可实时审查执行路径。方法参数、调用状态和调用堆栈会自动记录到 Xposed/LSPosed 控制台。
Expected Output Log format:	预期日志输出格式：
Object & Map Replacements	对象与 Map 替换
Replace complex parameters or return objects instantly without writing custom Java wrappers.	无需编写自定义 Java 包装类，即可替换复杂参数或返回对象。
HashMap Replacements	HashMap 替换
The `REPLACE_MAP` hook type deserializes JSON string payloads to construct native `java.util.HashMap` objects directly at runtime, which are returned as the target method's execution results.	`REPLACE_MAP` 类型会反序列化 JSON 字符串，在运行时直接构建原生 `java.util.HashMap` 对象，并将其作为目标方法的执行结果返回。
Sample JSON Payload:	JSON 数据示例：
BeanShell Script Integration	BeanShell 脚本集成
Run dynamic, context-aware Java scripting blocks within target method execution paths.	在目标方法的执行路径中运行可访问上下文的动态 Java 脚本。
Implicit Imports & Shortcuts	自动导入与快捷方式
The following classes are automatically imported for clean, lightweight scripting without verbose declarations:	以下类会自动导入，无需冗长声明即可编写简洁脚本：
(aliased as	（别名为
Exposed Variable Bindings	可用的变量绑定
BeanShell hooks expose the following contextual variables to interact with the runtime application state:	BeanShell Hook 提供以下上下文变量，用于访问应用的运行时状态：
Variable	变量
Type	类型
Direct access to the hook's invocation parameters and states.	直接访问 Hook 的调用参数和状态。
Shorthand reference to the hooked method's input parameters.	目标方法输入参数的快捷引用。
The active instance of the class that has been hooked.	被 Hook 类的当前实例。
The target Method or Constructor reflection object.	目标 Method 或 Constructor 反射对象。
The best resolved application or activity context.	解析得到的最佳 Application 或 Activity 上下文。
The active Activity instance (available when hook context permits).	当前 Activity 实例（在 Hook 上下文允许时可用）。
The global application instance.	全局 Application 实例。
The classloader that resolved the target class.	用于解析目标类的类加载器。
A pre-bound Gson utility for JSON transformations.	预先绑定的 Gson 工具，用于 JSON 转换。
Configured SharedPreferences and Editor for read/write.	已配置的 SharedPreferences 及其 Editor，用于读写数据。
In-Script Dialog Pre-bindings	脚本内预绑定的对话框
When running inside an Activity scope, 7 styled AlertDialog objects (	在 Activity 作用域内运行时，会预先创建 7 种样式的 AlertDialog 对象（
to	至
) are pre-constructed for quick display:	），便于快速显示：
: Device Default Dialog	：设备默认对话框
: Standard Theme Dialog	：标准主题对话框
: Standard Panel Theme	：标准面板主题
: Holo Dark Dialog	：Holo 深色对话框
: Holo Dark Panel	：Holo 深色面板
: Holo Light Dialog	：Holo 浅色对话框
: Holo Light Panel	：Holo 浅色面板
In-Script Helper Methods	脚本内辅助方法
Advanced BeanShell Workflows	BeanShell 高级用法
1. Reflection: Bypassing Obfuscation & Calling Hidden Methods	1. 反射：处理混淆并调用隐藏方法
When dealing with ProGuard/R8 obfuscation or private methods, use	处理 ProGuard/R8 混淆或私有方法时，可使用
to dynamically resolve and invoke them.	动态解析并调用它们。
2. Context Manipulation: Showing Modals from Application	2. 上下文操作：从 Application 显示弹窗
If you only have access to the Application Context (e.g., when hooking	如果只能访问 Application 上下文（例如 Hook
), you cannot show standard Activity dialogs. Use system-level Toasts or Intents instead.	时），则无法显示标准 Activity 对话框。请使用系统级 Toast 或 Intent。
3. Error Handling & Exception Mocking	3. 错误处理与异常模拟
You can prevent the app from crashing during your hook by wrapping logic in try/catch, or intentionally throw Exceptions to break anti-cheat logic.	可使用 try/catch 包裹逻辑，避免 Hook 导致应用崩溃；也可主动抛出异常以中断反作弊逻辑。
4. Array and List Mutations	4. 修改数组和列表
Modifying Collections and Arrays dynamically.	动态修改集合和数组。
5. Hooking Application Initialization (attachBaseContext)	5. Hook 应用初始化（attachBaseContext）
A very common technique to bypass early integrity checks or load things before the app starts.	这是一种常见技术，用于绕过早期完整性检查或在应用启动前加载内容。
6. Persistent Hover Overlay (View Resource Inspector)	6. 常驻悬浮窗（视图资源检查器）
Creates a floating overlay that displays the resource name and ID of any view the user touches. Hook a touch event method (e.g.,	创建悬浮窗，显示用户触摸视图的资源名称和 ID。请 Hook 触摸事件方法（例如
or	或
) with	），使用
Getting Started	入门指南
Learn the core lifecycle and class resolution workflow of the NFG Hook Engine.	了解 NFG Hook 引擎的核心生命周期和类解析流程。
Overview	概览
The NFG Hook Engine utilizes Xposed runtime overrides to intercept execution. In cases where targeted classes are dynamically loaded (such as split APKs, multidex, or custom classloader configurations), the engine intercepts classloader instantiation using a queue list structure, applying hooks safely without throwing ClassNotFound crashes.	NFG Hook 引擎利用 Xposed 在运行时拦截执行。当目标类动态加载时（例如拆分 APK、多 DEX 或自定义类加载器），引擎通过队列结构拦截类加载器的实例化过程，安全应用 Hook，避免因 ClassNotFound 异常导致崩溃。
Dynamic Class Loading Flow:	动态类加载流程：
Compiling Payload	正在编译代码
ACKNOWLEDGE	知道了
